dataset,model,mode,auprc_mean,auprc_std,auprc_gain_mean,auprc_gain_std,auroc_mean,auroc_std,recall_at_1pct_fpr_mean,recall_at_1pct_fpr_std,n_seeds
annthyroid,smol-360,likelihood,0.6821479013436318,0.01092659013055022,4.939823847370458,0.07912570043977041,0.9239414578161936,0.000718989610238255,0.3071161048689139,0.018059271088001795,3
arrhythmia,smol-360,likelihood,0.6364352745231097,0.03212821569616479,2.4975263045679608,0.12607890705010094,0.808892029099283,0.008963476491112043,0.09595959595959597,0.017495462702715934,3
breastw,smol-360,likelihood,0.9935073735294851,0.004494191253102959,1.9163468585652412,0.008668711998662955,0.9943206805131491,0.00323830021643888,0.8089260808926081,0.16453324303242592,3
cardio,smol-360,likelihood,0.7050985183518317,0.0022662126019419816,4.022266547870676,0.012927712797441482,0.8936763468013468,0.0025738849157037683,0.2916666666666667,0.0032803992567592426,3
covertype,smol-360,likelihood,0.12760384366642452,0.0017190437102290997,6.707586391606978,0.09036274978873773,0.9099946714079795,0.0010525239935069433,0.0896735833029972,0.002069982054269138,3
ecoli,smol-360,likelihood,0.6678105115376857,0.04702011541723775,12.836802055113289,0.9038311074646809,0.8581752484191508,0.0014103428180665177,0.5925925925925926,0.1283000598199168,3
glass,smol-360,likelihood,0.18460951746925558,0.02786381975936136,2.297362884061847,0.34674975700538596,0.7864077669902914,0.025137389854867465,0.0,0.0,3
heart,smol-360,likelihood,0.970376222338483,0.0022768576448247146,1.0985391196284713,0.00257757469225437,0.8098607367475292,0.011879173494898584,0.31761006289308175,0.13771107729338053,3
http,smol-360,likelihood,0.9061411520334786,0.0022141232756397295,116.74302933627162,0.28525738836832354,0.9993731432638179,2.3334150938447726e-06,1.0,0.0,3
ionosphere,smol-360,likelihood,0.9326257028842933,0.008635713869927127,1.769028118963064,0.016380441388195246,0.9122535936695227,0.009784898402662062,0.6031746031746031,0.05555555555555551,3
letter_recognition,smol-360,likelihood,0.17625204075146494,0.00585785399506125,1.498142346387452,0.049791758958020745,0.6179688888888889,0.007080707225610722,0.016666666666666666,0.005773502691896258,3
lymphography,smol-360,likelihood,0.9689153439153438,0.02737328318330012,12.434413580246913,0.35129046751901855,0.996870109546166,0.0027105646440827172,0.8333333333333334,0.1666666666666667,3
mammography,smol-360,likelihood,0.3243037708275302,0.003787515357755269,7.137177602596644,0.08335447260413742,0.861206916786375,0.0005515361095062314,0.2141025641025641,0.011750194089630366,3
mulcross,smol-360,likelihood,0.9999999936929225,1.0924178611715503e-08,5.500076260420077,6.008381588062403e-08,0.9999999985986854,2.4271480068790197e-09,1.0,0.0,3
musk,smol-360,likelihood,0.9999999999999999,0.0,16.288659793814432,0.0,1.0,0.0,1.0,0.0,3
optdigits,smol-360,likelihood,0.26077980703235876,0.008199037087823298,4.664481481785456,0.14665344337753225,0.90834846690354,0.00045932185788241523,0.011111111111111113,0.0038490017945975057,3
pendigits,smol-360,likelihood,0.42302750694818175,0.020904835246439463,9.526254050698476,0.47076080910731993,0.9378852455259962,0.003592550922110194,0.3333333333333333,0.006410256410256401,3
pima,smol-360,likelihood,0.6738954088753978,0.0009659957622421279,1.3025291858114032,0.00186711121209496,0.6637761194029851,0.0007778396549728367,0.062189054726368154,0.021863676407023566,3
satellite,smol-360,likelihood,0.7876518198462427,0.001695319685662064,1.6387490711535777,0.0035271975385385386,0.7601035899267726,0.002278032107140079,0.35478061558611657,0.0007502579723241145,3
satimage-2,smol-360,likelihood,0.8215602664014,0.041668152221864985,33.984823977759326,1.7236530010650264,0.9942387518879268,0.0013219613122179565,0.8685446009389671,0.056921857525737724,3
seismic,smol-360,likelihood,0.2774284515995328,0.005608908804029097,2.2471704579562157,0.045432161312635715,0.7438617866367757,0.005346037860453145,0.03529411764705882,0.0,3
shuttle,smol-360,likelihood,0.9831028155626985,0.003268665741224341,7.365290931518435,0.02448846017008391,0.9983441885876166,9.751373170614339e-05,0.9850944650147158,0.00016444040706053477,3
smtp,smol-360,likelihood,0.593030428263486,0.016478401158014244,940.8032390781364,26.14188487711237,0.9206679094627711,0.001425669878182293,0.6888888888888888,0.01924500897298753,3
speech,smol-360,likelihood,0.03741500269195904,0.002478082768455034,1.1494379515529711,0.07612995259155304,0.46887837988540565,0.011174827808575415,0.01639344262295082,0.0,3
thyroid,smol-360,likelihood,0.8478361620388969,0.020700756825228896,17.622229045389115,0.4302641176684664,0.9912614929094592,0.0007388795735298688,0.8172043010752689,0.01075268817204307,3
vertebral,smol-360,likelihood,0.18096780929250667,0.009977655226692332,0.81435514181628,0.04489944852011549,0.38232804232804235,0.030160957868155487,0.0,0.0,3
vowels,smol-360,likelihood,0.2133777567824532,0.029449335802253444,3.2134690171437454,0.4435069971819372,0.7318349928876245,0.009948543170072573,0.09333333333333334,0.09237604307034013,3
wbc,smol-360,likelihood,0.6974578022670399,0.051316165264568864,6.642455259686095,0.4887253834720843,0.9298572315332091,0.003821310885238159,0.3333333333333333,0.047619047619047616,3
wine,smol-360,likelihood,0.6886461097313025,0.14867309330089568,4.820522768119117,1.04071165310627,0.9288888888888889,0.03757708127352412,0.26666666666666666,0.15275252316519466,3
yeast,smol-360,likelihood,0.31625281131825295,0.011455882618980322,2.6298917993833664,0.09526470809467841,0.7830165341411082,0.004287735633365358,0.024561403508771926,0.016079212964757332,3
