dataset,model,mode,auprc_mean,auprc_std,auprc_gain_mean,auprc_gain_std,auroc_mean,auroc_std,recall_at_1pct_fpr_mean,recall_at_1pct_fpr_std,n_seeds
breastw,smol,likelihood,0.9811101174040204,,1.8924341595115206,,0.9801349466621433,,0.6694560669456067,,1
breastw,smol-360,likelihood,0.993478687958446,0.004491603948300035,1.9162915278194295,0.008663721423290015,0.9943018332139671,0.0032245042874041686,0.807531380753138,0.1668926416332982,3
covertype,smol-360,likelihood,0.12760384366642452,0.0017190437102290997,6.707586391606978,0.09036274978873773,0.9099946714079795,0.0010525239935069433,0.0896735833029972,0.002069982054269138,3
ecoli,smol-360,likelihood,0.6799776448109935,0.061395223182679065,13.070681394700209,1.1801526234003865,0.8604336043360433,0.002442785416980982,0.5925925925925926,0.1283000598199168,3
lymphography,smol-360,likelihood,1.0,,12.833333333333334,,1.0,,1.0,,1
pendigits,smol-360,likelihood,0.42302750694818175,0.020904835246439463,9.526254050698476,0.47076080910731993,0.9378852455259962,0.003592550922110194,0.3333333333333333,0.006410256410256401,3
pima,smol-360,likelihood,0.6738954088753978,0.0009659957622421279,1.3025291858114032,0.00186711121209496,0.6637761194029851,0.0007778396549728367,0.062189054726368154,0.021863676407023566,3
speech,smol-360,likelihood,0.03741500269195904,0.002478082768455034,1.1494379515529711,0.07612995259155304,0.46887837988540565,0.011174827808575415,0.01639344262295082,0.0,3
vowels,smol-360,likelihood,0.2133777567824532,0.029449335802253444,3.2134690171437454,0.4435069971819372,0.7318349928876245,0.009948543170072573,0.09333333333333334,0.09237604307034013,3
wbc,smol-360,likelihood,0.6974578022670399,0.051316165264568864,6.642455259686095,0.4887253834720843,0.9298572315332091,0.003821310885238159,0.3333333333333333,0.047619047619047616,3
wine,smol-360,likelihood,0.6886461097313025,0.14867309330089568,4.820522768119117,1.04071165310627,0.9288888888888889,0.03757708127352412,0.26666666666666666,0.15275252316519466,3
yeast,smol-360,likelihood,0.31625281131825295,0.011455882618980322,2.6298917993833664,0.09526470809467841,0.7830165341411082,0.004287735633365358,0.024561403508771926,0.016079212964757332,3
