dataset,model,mode,auprc_mean,auprc_std,auprc_gain_mean,auprc_gain_std,auroc_mean,auroc_std,recall_at_1pct_fpr_mean,recall_at_1pct_fpr_std,distinct_levels_mean,distinct_levels_std,n_seeds
annthyroid,qwen2.5-3b,likelihood,0.6917495174075129,0.002633987423845355,5.009354651338675,0.019074212299644223,0.9347530258643841,0.005351829910267207,0.2940074906367041,0.011390941067974187,,,3
annthyroid,qwen2.5-3b,prompted,0.1885037485096592,0.004898947865142806,1.365063661960397,0.03547608875375891,0.5894345988906006,0.0007469818702052297,0.03682896379525593,0.008649442235050571,3783.0,1.0,3
annthyroid,smol-360,likelihood,0.6764645435376337,0.014033987620081814,4.8986673967416285,0.10162814630497424,0.924790419116818,0.00039421545106284794,0.29275905118601747,0.023563777887861268,,,3
annthyroid,smol-360,prompted,0.1924058217853322,0.004423655143320166,1.3933208105690629,0.032034221796290556,0.5712739813307174,0.0053855553227540875,0.03433208489388265,0.0010811802793813197,2112.6666666666665,16.07275126832155,3
arrhythmia,qwen2.5-3b,likelihood,0.6293196422089248,0.027474524085263168,2.469602838365326,0.10781669300126011,0.8211126812163081,0.012086835967383027,0.07575757575757576,0.015151515151515152,,,3
arrhythmia,qwen2.5-3b,prompted,0.2871936606117753,0.017066471279064913,1.1270175469462094,0.0669729706254214,0.558434081750144,0.028010466956479775,0.0,0.0,258.0,0.0,3
arrhythmia,smol-360,likelihood,0.6365715581431824,0.03459870540900288,2.49806111453158,0.13577370758987467,0.8093892290783482,0.009926492647557664,0.0909090909090909,0.0262431940540739,,,3
arrhythmia,smol-360,prompted,0.29541807107294843,0.01262653530262464,1.1592921273923278,0.04954958550575433,0.5152692730412938,0.018844001671909874,0.015151515151515152,0.0,211.66666666666666,2.309401076758499,3
breastw,qwen2.5-3b,likelihood,0.9870546533579607,0.008129536823764232,1.903900398318075,0.01568082207429005,0.9899858017012829,0.004363845114937114,0.6415620641562064,0.25109251080541845,,,3
breastw,qwen2.5-3b,prompted,0.36148105554117693,0.0038218241255711,0.6972500694748224,0.007371803020453062,0.17989747069244977,0.008969869070646168,0.0,0.0,360.0,5.196152422706632,3
breastw,smol-360,likelihood,0.99220844489222,0.004333801280827829,1.9138413937042404,0.008359340545864525,0.9930767587671353,0.003012110549048607,0.7001394700139469,0.20327724629234173,,,3
breastw,smol-360,prompted,0.7425893148929004,0.015815834380285842,1.4323584693122473,0.03050669309335477,0.6793917348310653,0.01803259692625996,0.1603905160390516,0.00483138300577094,276.3333333333333,5.131601439446882,3
cardio,qwen2.5-3b,likelihood,0.6702121512700084,0.008936238651458974,3.8232556811084577,0.050977179579913684,0.8527233384570341,0.010619120950946184,0.3503787878787879,0.03471648253754425,,,3
cardio,qwen2.5-3b,prompted,0.14758655258877065,0.0034605469893773436,0.8419141977223054,0.019740847598493465,0.4293249524227785,0.011576124159386036,0.0,0.0,962.3333333333334,5.131601439446868,3
cardio,smol-360,likelihood,0.6998684525725666,0.00624274892901481,3.9924313999025958,0.035612045026879986,0.8855813570487484,0.0021457971991526875,0.3125,0.00984119777027771,,,3
cardio,smol-360,prompted,0.1885135576165876,0.005275518680618687,1.0753841582218975,0.030094436109892948,0.5437847679695506,0.01413424228706655,0.003787878787878788,0.006560798513518475,498.6666666666667,8.962886439832493,3
covertype,qwen2.5-3b,likelihood,0.11081872959800282,0.01688146631503043,5.825264985981948,0.8873862296897578,0.8484620048232131,0.014831465022231961,0.11078752578570561,0.013495450314560845,,,3
covertype,qwen2.5-3b,prompted,0.03204503978788701,0.00015828449032275673,1.6844702057849688,0.008320336306380006,0.7177333607456027,0.0010131127187262394,0.008130081300813009,0.00021017483406975812,40353.0,135.834458073053,3
covertype,smol-360,likelihood,0.12343723029276958,0.0004597776680848418,6.488565409470456,0.024168538666223174,0.9037270235270825,0.0002544624375840998,0.09671156413056668,0.000556070342792842,,,3
covertype,smol-360,prompted,0.12381655608202857,0.00045397131343845326,6.508504938162637,0.023863323523074426,0.8150856330036973,0.0007246338257461923,0.15447154471544713,0.0027322728429068524,3248.0,9.848857801796104,3
ecoli,qwen2.5-3b,likelihood,0.3393317960260384,0.071933087067823,6.522711190278294,1.3827137847481539,0.7992321589882566,0.03000470402934494,0.1851851851851852,0.06415002990995841,,,3
ecoli,qwen2.5-3b,prompted,0.1031031929684418,0.0024083929887098086,1.9818724870600477,0.04629466522742184,0.7477416440831076,0.006295103823291077,0.0,0.0,173.0,0.0,3
ecoli,smol-360,likelihood,0.5906961254295099,0.1639026147535175,11.35449218881169,3.1505724835953917,0.8328816621499548,0.03186683443463628,0.4444444444444444,0.2222222222222222,,,3
ecoli,smol-360,prompted,0.04261537264992913,0.00454758769701699,0.8191621631597488,0.0874147412871043,0.35399728997289975,0.07649228516366004,0.0,0.0,159.33333333333334,4.041451884327384,3
glass,qwen2.5-3b,likelihood,0.2873072488048955,0.08448558891302178,3.575379096238699,1.0513762175842711,0.8234448040273282,0.02451237248062461,0.1111111111111111,0.1111111111111111,,,3
glass,qwen2.5-3b,prompted,0.06434583707731294,0.0014699656109669393,0.8007481947398943,0.018292905380921945,0.3444804027328299,0.016513430425321857,0.0,0.0,112.0,0.0,3
glass,smol-360,likelihood,0.1817253446795735,0.02403570021590892,2.26147095601247,0.2991109360201998,0.7799352750809061,0.01944741788276163,0.0,0.0,,,3
glass,smol-360,prompted,0.10874200328210647,0.02683486831103683,1.353233818621769,0.3339450278706805,0.5235526788924848,0.04039670050152306,0.0,0.0,106.66666666666667,0.5773502691896247,3
heart,qwen2.5-3b,likelihood,0.9609968242109131,0.0036573627416121384,1.0879209330689583,0.0041404106508816175,0.7603324348607368,0.011769969582225004,0.22169811320754718,0.05891507545658867,,,3
heart,qwen2.5-3b,prompted,0.9110427011022016,0.010556850314405657,1.031369095587398,0.01195115129932722,0.5907457322551662,0.026783241959282767,0.036163522012578615,0.0054467006527323175,240.0,0.0,3
heart,smol-360,likelihood,0.9678544655412136,0.002265753590891647,1.0956843006126946,0.002565004065160373,0.7957097933513028,0.011879173494898657,0.28773584905660377,0.09422162431810463,,,3
heart,smol-360,prompted,0.8834470949137074,0.011928574414100517,1.000128786694763,0.013504046506528734,0.47211927223719674,0.03651698947927872,0.01729559748427673,0.0118708088604886,207.0,1.0,3
http,qwen2.5-3b,likelihood,0.6727918319105707,0.13025510291405995,86.67938366299666,16.781464197460224,0.9984123621290104,0.0010766358865412467,1.0,0.0,,,3
http,qwen2.5-3b,prompted,0.00959711856705789,1.2125804105270653e-05,1.236448308195059,0.0015622324416132483,0.24740796995589534,0.00011465716562784921,0.00045228403437358656,0.0,4866.666666666667,25.383721817994658,3
http,smol-360,likelihood,0.7887552585862242,0.010203383516445435,101.61957448420576,1.3145566764256282,0.9993118229254421,5.75022827573197e-05,1.0,0.0,,,3
http,smol-360,prompted,0.25385723004968863,0.003199653208578151,32.70578980814295,0.41222850055610255,0.9591136122631783,0.0010521808157909448,0.016282225237449117,0.0,1771.6666666666667,8.736894948054097,3
ionosphere,qwen2.5-3b,likelihood,0.9543897286611006,0.010119012601672332,1.8103106757936747,0.019194000093648175,0.941354122770052,0.011213804136124125,0.6851851851851851,0.06749921069932846,,,3
ionosphere,qwen2.5-3b,prompted,0.4430964169359688,0.007006929727788584,0.8404765368864804,0.013290922261440255,0.38980193847450484,0.01134826571272317,0.0,0.0,238.0,0.0,3
ionosphere,smol-360,likelihood,0.9170032113774962,0.014249422846297462,1.7393949803112825,0.027028667144961018,0.8997050147492626,0.009801688453108316,0.5238095238095238,0.08584645893961881,,,3
ionosphere,smol-360,prompted,0.6265615975563548,0.01631785635201007,1.1884779509203873,0.03095212435024136,0.610116121178068,0.019098781612573543,0.026455026455026454,0.032075014954979206,202.66666666666666,3.5118845842842425,3
letter_recognition,qwen2.5-3b,likelihood,0.35484106884309236,0.02674224549931682,3.016149085166285,0.2273090867441931,0.7821733333333333,0.009955750990145238,0.08,0.0264575131106459,,,3
letter_recognition,qwen2.5-3b,prompted,0.15748846773932781,0.00528056531904503,1.3386519757842865,0.0448848052118828,0.5745511111111111,0.0033681998709058246,0.02,0.0,848.0,2.0,3
letter_recognition,smol-360,likelihood,0.1610459533871875,0.0028960424785275307,1.3688906037910937,0.02461636106748404,0.6140311111111112,0.002862053135102193,0.01,0.0,,,3
letter_recognition,smol-360,prompted,0.1378554241904568,0.004192546917811222,1.1717711056188829,0.035636648801395304,0.5284511111111111,0.0007201954467237058,0.013333333333333334,0.005773502691896258,540.3333333333334,7.505553499465143,3
lymphography,qwen2.5-3b,likelihood,0.9353294853294853,0.03990038155784732,12.003395061728396,0.5120548966590407,0.9913928012519562,0.005907538681745479,0.7777777777777778,0.09622504486493767,,,3
lymphography,qwen2.5-3b,prompted,0.4093771306966172,0.040921229507335864,5.253673177273254,0.5251557786774772,0.6533646322378717,0.021299933628820305,0.27777777777777773,0.09622504486493763,77.0,0.0,3
lymphography,smol-360,likelihood,0.9689153439153438,0.035289210507815034,12.434413580246913,0.45287820151696007,0.996870109546166,0.003585739980403658,0.8333333333333334,0.1666666666666667,,,3
lymphography,smol-360,prompted,0.08217279220624932,0.018134891601946146,1.054550833313533,0.23273110889164222,0.3536776212832551,0.03794790501715852,0.0,0.0,76.0,1.0,3
mammography,qwen2.5-3b,likelihood,0.45346616442309035,0.015903179588555146,9.979743818572778,0.34999228309889363,0.8791935423297561,0.0011348369035222672,0.3397435897435897,0.03635242789425082,,,3
mammography,qwen2.5-3b,prompted,0.06145821405918226,0.0004560343290023354,1.3525534647947726,0.010036263194428347,0.5864833018805923,0.0026476648964757444,0.0038461538461538464,0.0,3684.6666666666665,16.50252505931537,3
