dataset,model,mode,auprc_gain_mean,auprc_gain_std,precision_at_topN_mean,precision_at_topN_std,recall_at_1pct_fpr_mean,recall_at_1pct_fpr_std,recall_at_topN_mean,recall_at_topN_std,n_seeds
creditcard-random,classical,classical:ecod,88.41551854728205,1.6001715638635028,0.6326994450522002,0.06659807112974052,0.6747967479674797,0.004065040650406471,0.18766937669376693,0.004231028454199454,3
creditcard-random,classical,classical:iforest,59.435491846444314,7.327104771937051,0.410294309776114,0.05181028982629859,0.6043360433604336,0.02557531990267862,0.16869918699186992,0.0060975609756097615,3
creditcard-random,classical,classical:knn,2.4693616539157603,0.07421228216363836,0.006842775330472156,0.0008789432979854951,0.02981029810298103,0.005115063980535737,0.00948509485094851,0.001173476156889482,3
creditcard-random,classical,classical:pca,76.03460384871333,1.6059420620978446,0.630045039243547,0.0370994713104497,0.6300813008130081,0.005377543315172024,0.18766937669376693,0.0023469523137789592,3
creditcard-random,qwen2.5-3b,likelihood,7.143525956544195,1.1800794533590708,0.03331947326303252,0.01409736346668031,0.1361788617886179,0.016636895877789538,0.03929539295392954,0.01470361410176877,3
creditcard-random,qwen2.5-3b,prompted,1.0520430443936706,0.0029833879561888925,0.0004730265368360193,0.0008193059951283365,0.002710027100271003,0.001173476156889483,0.0006775067750677508,0.0011734761568894833,3
creditcard-random,smol-360,prompted,0.8896752973369858,0.022445388723008792,0.004367217961577324,0.002965730747893634,0.010840108401084009,0.004231028454199456,0.0060975609756097554,0.004065040650406504,3
creditcard-temporal,classical,classical:ecod,83.10344749619652,11.573827184127948,0.6391488375257429,0.11550734256726626,0.6537940379403794,0.008462056908398897,0.18766937669376693,0.006533638726960003,3
creditcard-temporal,classical,classical:iforest,52.129751284499655,4.273386214580261,0.3470637786448629,0.027374235475867065,0.5345528455284553,0.02794253472534051,0.1605691056910569,0.004065040650406505,3
creditcard-temporal,classical,classical:knn,0.5589973015189985,0.00010955138073190397,0.0,0.0,0.0,0.0,0.0,0.0,3
creditcard-temporal,classical,classical:pca,69.37461904767348,11.118154755062813,0.5816766551585636,0.128702969267662,0.6260162601626016,0.011316594233394381,0.18360433604336043,0.008462056908398912,3
creditcard-temporal,qwen2.5-3b,likelihood,1.4054970146310932,0.23472383887914636,0.007378071887056303,0.002685047429091401,0.029810298102981036,0.003104726080593389,0.01016260162601626,0.003520428470668449,3
creditcard-temporal,qwen2.5-3b,prompted,1.0841456673854684,0.013231545361499671,0.0019003778492888118,0.0008336330031616831,0.002710027100271003,0.0011734761568894833,0.002710027100271003,0.0011734761568894833,3
creditcard-temporal,smol-360,prompted,1.7568133382918265,0.3727366510708331,0.00840218358110635,0.002364977936458396,0.031165311653116534,0.0023469523137789696,0.011517615176151762,0.0031047260805933865,3
unsw,classical,classical:ecod,9.345625186244503,0.1469005014721657,0.4960259163625789,0.05628344206230867,0.1607314799332189,0.006094031506819074,0.010696421491641262,0.0005402099095538538,3
unsw,classical,classical:iforest,9.19006275193187,0.5224001962376436,0.6074421662630262,0.09721235645716829,0.1876205113411682,0.01803983821667148,0.011616844436160012,0.0007454155564472065,3
unsw,classical,classical:knn,5.822793752134058,0.24101861932911647,0.5089264831445997,0.031571649686103216,0.189101003854899,0.012365447860398796,0.010833821710114854,0.00022826156930071825,3
unsw,classical,classical:pca,7.6436190117964955,0.031338998885722225,0.3596657269685319,0.023541215827019298,0.0990215031000763,0.0022900233689192567,0.009181344499066605,0.0002899097955812105,3
unsw,qwen2.5-3b,likelihood,7.685646351042892,0.5290487229287206,0.8271996929701261,0.08175914633502865,0.3019354070063285,0.02640981190012079,0.012991344097573847,0.0003632855786014045,3
unsw,qwen2.5-3b,prompted,3.983780755606628,0.15185154317479616,0.3511072732124292,0.04810727463296492,0.1510356686122292,0.01289543193602353,0.009043271193942397,0.0006599987027282541,3
unsw,smol-360,prompted,0.9141212742668469,0.0031218783572320905,0.036824548386380045,0.0033585494030246546,0.009134674127271184,0.0013129796659991355,0.0016526896987233374,0.00013693460169622598,3
